Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mat.1.12#13	Ζοροβαβέλ·	Zorobabel	G2216=N-PRI	Ζοροβάβελ=Zerubbabel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Zorobabel	Zerubbabel»Zerubbabel@1Ch.3.19	#14	G2216_A	
Mat.1.13#01	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#04»05:G0010	G3588_A	
Mat.1.13#02	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#09»10:G1662	G3588_B	
Mat.1.13#03	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#14»15:G0107	G3588_C	
Mat.1.13#04	δε	And	G1161=CONJ								G1161_A	
Mat.1.13#05	ζοροβαβελ	Zorobabel	G2216=N-PRI								G2216_A	
Mat.1.13#06	εγεννησεν	begat	G1080=V-AAI-3S								G1080_A	
Mat.1.13#07	αβιουδ	Abiud	G10=N-PRI								G10_A	
Mat.1.13#08	δε	and	G1161=CONJ								G1161_B	
Mat.1.13#09	αβιουδ	Abiud	G10=N-PRI								G10_B	
Mat.1.13#10	εγεννησεν	begat	G1080=V-AAI-3S								G1080_B	
